Date,Time,H_with_symptoms,C,Total_H_C,Home_confinement,Total_positive_H_C_Home,Delta_Total_positive,Daily_new_positive,R_from_H,D_cum,Total_cases,Tests
2020-03-27,17:00:00,26029,3732,29761,36653,66414,4401,5959,10950,9134,86498,394079
2020-03-28,17:00:00,26676,3856,30532,39533,70065,3651,5974,12384,10023,92472,429526
2020-03-29,17:00:00,27386,3906,31292,42588,73880,3815,5217,13030,10779,97689,454030
2020-03-30,17:00:00,27795,3981,31776,43752,75528,1648,4050,14620,11591,101739,477359
2020-03-31,17:00:00,28192,4023,32215,45420,77635,2107,4053,15729,12428,105792,506968
2020-04-01,17:00:00,28403,4035,32438,48134,80572,2937,4782,16847,13155,110574,541423
2020-04-02,17:00:00,28540,4053,32593,50456,83049,2477,4668,18278,13915,115242,581232
2020-04-03,17:00:00,28741,4068,32809,52579,85388,2339,4585,19758,14681,119827,619849
2020-04-04,17:00:00,29010,3994,33004,55270,88274,2886,4805,20996,15362,124632,657224
2020-04-05,17:00:00,28949,3977,32926,58320,91246,2972,4316,21815,15887,128948,691461
2020-04-06,17:00:00,28976,3898,32874,60313,93187,1941,3599,22837,16523,132547,721732
2020-04-07,17:00:00,28718,3792,32510,61557,94067,880,3039,24392,17127,135586,755445
2020-04-08,17:00:00,28485,3693,32178,63084,95262,1195,3836,26491,17669,139422,807125
2020-04-09,17:00:00,28399,3605,32004,64873,96877,1615,4204,28470,18279,143626,853369
2020-04-10,17:00:00,28242,3497,31739,66534,98273,1396,3951,30455,18849,147577,906864
2020-04-11,17:00:00,28144,3381,31525,68744,100269,1996,4694,32534,19468,152271,963473
2020-04-12,17:00:00,27847,3343,31190,71063,102253,1984,4092,34211,19899,156363,1010193
2020-04-13,17:00:00,28023,3260,31283,72333,103616,1363,3153,35435,20465,159516,1046910
2020-04-14,17:00:00,28011,3186,31197,73094,104291,675,2972,37130,21067,162488,1073689
2020-04-15,17:00:00,27643,3079,30722,74696,105418,1127,2667,38092,21645,165155,1117404
